"season","first_name","last_name","position","origin","destination","transfer_date","rating","stars","eligibility"
2021,"Sione","Lund","ILB","Utah",NA,2020-10-07,NA,4,"TBD"
2021,"Kennique","Bonner-Steward","QB","Temple","Independence C.C.",2020-10-07,NA,3,"Immediate"
2021,"Jaison","Fournet","IOL","East Carolina",NA,2020-10-07,NA,NA,"TBD"
2021,"Xavier","Steele","OLB","Massachusetts","Arizona State",2020-10-07,NA,2,"Immediate"
2021,"Chinedu","Ogbonna","LB","Massachusetts",NA,2020-10-07,NA,3,"Immediate"
2021,"Myles","Wolfolk","S","North Carolina","Bowie State",2020-10-07,NA,3,"TBD"
2021,"Montra","Edwards","DL","Missouri","Southern Miss",2020-10-06,NA,3,"TBD"
2021,"Peter","Hayes-Patrick","RB","Akron",NA,2020-10-05,NA,3,"TBD"
2021,"Keilan","Knight","CB","UAB",NA,2020-10-02,NA,NA,"TBD"
2021,"Osman","Savage","LB","Michigan","Alabama A&M",2020-10-01,NA,4,"TBD"
2021,"Chance","Cover","LB","Texas Tech",NA,2020-10-01,NA,3,"TBD"
2021,"Simon","Gonzalez","TE","Texas Tech","SMU",2020-10-21,NA,3,"TBD"
2021,"Byron","Vaughns","LB","Texas","Utah State",2020-10-25,NA,3,"TBD"
2021,"Nyles","Gaddy","EDGE","Tennessee","Jackson State",2020-11-03,NA,NA,"Immediate"
2021,"Adam","Cousins","WR","UTEP",NA,2020-09-30,NA,2,"TBD"
2021,"Hayden","Metcalf","WR","Illinois",NA,2020-09-30,NA,NA,"TBD"
2021,"Yontez","Jarrell","OT","Charlotte",NA,2020-09-30,NA,2,"TBD"
2021,"Dylan","Hall","EDGE","Boise State",NA,2020-09-30,NA,NA,"TBD"
2021,"Kaiden","Bennett","DUAL","Nevada","Sacramento State",2020-09-01,NA,3,"TBD"
2021,"Edwin","Carter","WR","Illinois",NA,2020-09-30,NA,3,"TBD"
2021,"Jordan","Hendy","CB","Toledo","Pittsburg St",2020-09-29,NA,3,"TBD"
2021,"Marquis","McCoy","WR","Southern Miss",NA,2020-09-28,NA,3,"TBD"
2021,"Jon","Denny","OG","Washington State","Idaho",2020-09-28,NA,2,"TBD"
2021,"Eddie","McDoom","WR","South Florida",NA,2020-09-28,NA,3,"Immediate"
2021,"Stuart","Head","S","Stanford","App State",2020-09-28,NA,3,"Immediate"
2021,"Dylan","Boles","DL","Stanford","Northern Iowa",2020-09-25,NA,2,"Immediate"
2021,"Eric","Gallegos","CB","Oklahoma",NA,2020-09-24,NA,NA,"TBD"
2021,"Rob","Cummins","DL","Texas",NA,2020-09-24,NA,3,"TBD"
2021,"Javorrius","Selmon","CB","Mississippi State","Jackson State",2020-09-23,NA,3,"TBD"
2021,"Jay","Williams","OT","Florida State","Florida A&M",2020-09-23,NA,3,"Immediate"
2021,"Tahji","Gilbert","DL","Georgia State",NA,2020-09-23,NA,3,"TBD"
2021,"Brady","Buell","K","Central Michigan",NA,2020-09-22,NA,2,"TBD"
2021,"Kyiev","Bennermon","DL","Boston College","North Carolina A&T",2020-09-22,NA,3,"TBD"
2021,"Colin","Anderson","LB","Vanderbilt",NA,2020-09-22,NA,3,"Immediate"
2021,"Keion","Wakefield","WR","West Virginia",NA,2020-09-21,NA,3,"Immediate"
2021,"Jorell","Baum","EDGE","Old Dominion",NA,2020-09-21,NA,3,"TBD"
2021,"Mason","Cholewa","DL","UCF","James Madison",2020-09-21,NA,3,"TBD"
2021,"Lawuan","Axel","CB","Chadron St",NA,2020-09-18,NA,NA,"Immediate"
2021,"Tagg","Bullock","EDGE","East Carolina","North Carolina A&T",2020-09-17,NA,NA,"TBD"
2021,"Brandon","Taylor","DL","Penn State",NA,2020-09-16,NA,3,"TBD"
2021,"Reginald","Johnson","WR","Louisiana",NA,2020-09-16,NA,3,"TBD"
2021,"Jackson","Lowe","TE","Tennessee","Jacksonville State",2020-09-16,NA,4,"Immediate"
2021,"Robert","King","CB","UConn",NA,2020-09-16,NA,2,"TBD"
2021,"Carson","Welch","QB","SMU",NA,2020-09-15,NA,3,"TBD"
2021,"Elijah","Campbell","DL","Georgia Southern",NA,2020-09-15,NA,3,"TBD"
2021,"Trennan","Carlson","LB","Utah","Northern Iowa",2020-09-12,NA,3,"TBD"
2021,"Vincent","Thomas","S","Navy","Maine",2020-09-10,NA,2,"TBD"
2021,"Logan","Arnold","DL","Nevada","Colorado Mesa",2020-09-10,NA,2,"TBD"
2021,"Sean","Auwae","IOL","Vanderbilt","Tennessee State",2020-09-10,NA,3,"Immediate"
2021,"Hunter","Goetz","S","Liberty",NA,2020-09-09,NA,NA,"TBD"
2021,"Devon","Wharton","CB","Western Kentucky",NA,2020-09-09,NA,2,"Immediate"
2021,"Drew","Homschek","S","North Carolina",NA,2020-09-08,NA,NA,"TBD"
2021,"Jared","Martino","RB","Massachusetts","Independence C.C.",2020-09-08,NA,NA,"Immediate"
2021,"Jacquez","Sloan","WR","Western Kentucky",NA,2020-09-08,NA,2,"TBD"
2021,"Elijah","Lilly","WR","New Mexico","Idaho",2020-09-08,NA,NA,"Immediate"
2021,"Kentrail","Moran","RB","New Mexico",NA,2020-09-08,NA,3,"Immediate"
2021,"Trey","Davis","CB","Washington State",NA,2020-09-07,NA,3,"TBD"
2021,"Tae'Aviion","Gray","LB","South Florida",NA,2020-09-04,NA,3,"TBD"
2021,"JR","Tran-Reno","RB","Vanderbilt","Samford",2020-09-02,NA,3,"TBD"
2021,"Dylan","Meeks","EDGE","Akron",NA,2020-09-02,NA,3,"Immediate"
2021,"Andrew","Lawson","IOL","Old Dominion",NA,2020-09-02,NA,2,"TBD"
2021,"Jack","Bouwmeester","P","Michigan State",NA,2020-09-01,NA,3,"TBD"
2021,"T.K.","McLendon","EDGE","LSU","Eastern Kentucky",2020-09-01,NA,3,"Immediate"
2021,"Jason","Edwards","RB","West Virginia",NA,2020-08-31,NA,NA,"TBD"
2021,"Jacobi","Hearn","LB","New Mexico","Murray State",2020-08-31,NA,2,"Immediate"
2021,"Shannon","Showers","S","Southern Miss","West Florida",2020-08-31,NA,2,"TBD"
2021,"Jaohne","Duggan","DL","Rutgers","Duquesne",2020-08-31,NA,3,"TBD"
2021,"Juwan","Ross","DL","Old Dominion","East Tennessee State",2020-08-31,NA,2,"Immediate"
2021,"Jack","Smith","QB","Arizona State","Central Washington",2020-08-30,NA,3,"TBD"
2021,"Jack","del Rio","LB","Rutgers",NA,2020-08-29,NA,3,"TBD"
2021,"Brandon","Burton","S","New Mexico","Murray State",2020-08-28,NA,4,"Immediate"
2021,"Tyquan","Johnson","WR","South Carolina",NA,2020-08-28,NA,3,"TBD"
2021,"Terin","Adams","CB","Utah State","Western Illinois",2020-08-26,NA,NA,"TBD"
2021,"PK","Kier","RB","Virginia",NA,2020-08-26,NA,3,"TBD"
2021,"Malcolm","Robinson","DL","Minnesota",NA,2020-08-26,NA,3,"Immediate"
2021,"Isaiah","Bean","EDGE","Kansas",NA,2020-08-26,NA,3,"Immediate"
2021,"Antione","Frazier","OT","Kansas","Northern Iowa",2020-08-26,NA,3,"Immediate"
2021,"Kuj","Tapusoa","RB","BYU",NA,2020-08-25,NA,3,"TBD"
2021,"Rahmon","Hart","WR","Ball State","Duquesne",2020-08-25,NA,3,"TBD"
2021,"Isaiah","Robertson","S","Notre Dame",NA,2020-08-25,NA,4,"Immediate"
2021,"Davis","DiVall","IOL","Baylor","Arizona",2020-08-24,NA,3,"Immediate"
2021,"Jarious","Abercrombie","OT","Tennessee","Illinois State",2020-08-24,NA,NA,"Immediate"
2021,"Jarrett","Paul","S","Rutgers",NA,2020-09-30,NA,3,"TBD"
2021,"Rodrick","Fisher","WR","Washington State",NA,2020-08-24,NA,4,"TBD"
2021,"Taury","Dixon","CB","Mississippi State",NA,2020-08-24,NA,NA,"TBD"
2021,"Chandler","Anthony","OT","North Texas","Oklahoma State",2020-08-24,0.81,3,"Immediate"
2021,"Tony","Gray","OT","UCF","Jackson State",2020-08-22,NA,3,"TBD"
2021,"Jaquan","Yulee","LB","Marshall",NA,2020-08-21,NA,4,"TBD"
2021,"Jordan","Jones","LB","UAB",NA,2020-08-20,NA,2,"TBD"
2021,"Shannon","Carswell","DL","Southern Miss",NA,2020-08-20,NA,3,"TBD"
2021,"Gilberto","Torres","RB","Massachusetts",NA,2020-08-20,NA,NA,"TBD"
2021,"Brenden","Schooler","WR","Arizona","Texas",2020-08-19,NA,3,"Immediate"
2021,"RJ","Harvey Jr.","DUAL","Virginia","UCF",2020-08-19,NA,3,"TBD"
2021,"John","Olmstead","OT","Notre Dame","Lafayette",2020-08-19,NA,4,"TBD"
