"","athlete_id","first_name","last_name","team","season","post_ppa","years_in_college","prev_pass_yds","prev_pass_td","prev_avg_ppa","dest_off_ppa","dest_sp_offense","is_transfer"
"873",4430590,"Payton","Thorne","Auburn",2024,142.275,6,1755,16,0.611,0.235496342572844,27.9,0
"874",4430699,"Jack","Salopek","Elon",2024,-2.296,4,316,1,0.667,NA,NA,1
"875",4430775,"Hayden","Wolff","Western Michigan",2024,102.894,6,1505,8,0.655,0.239054960921565,24.7,0
"876",4430836,"Chubba","Purdy","Nevada",2024,3.752,4,382,2,0.544,0.2145624458839,21,1
"877",4430841,"Carson","Beck","Georgia",2024,166.483,4,3941,24,0.724,0.231931028598259,37.3,0
"878",4430912,"Malakai","Anthony","Merrimack",2024,-4.077,3,613,5,0.478,NA,NA,0
"879",4430950,"Jefferson","Boaz","Western Carolina",2024,1.993,4,3,0,1,NA,NA,1
"880",4431091,"Ben","Finley","Akron",2024,77.05,4,575,3,0.574,0.0637900389779065,15.7,1
"881",4431114,"Ben","Gulbranson","Oregon State",2024,36.519,4,186,1,0.607,0.151326105023983,26.1,0
"882",4431246,"Baron","May","Bowling Green",2024,6.9,4,62,0,0.417,0.220550923334049,25.6,1
"883",4431325,"Taylen","Green","Arkansas",2024,178.156,4,1752,11,0.571,0.281721354503534,31.4,1
"884",4431375,"Ken","Seals","TCU",2024,7.813,4,1218,11,0.592,0.277091047108313,34.6,1
"885",4431387,"Evan","Simon","Temple",2024,65.547,4,30,1,0.667,0.0169751474928029,17.3,1
"886",4431397,"Logan","Smothers","Jacksonville State",2024,17.322,4,735,6,0.564,0.285693927077238,28.8,0
"887",4431416,"Kiael","Kelly","Ball State",2024,-8.708,3,577,2,0.532,0.116807069781544,21.3,0
"888",4431465,"Behren","Morton","Texas Tech",2024,140.847,4,1754,15,0.619,0.243782950556029,33.5,0
"889",4431535,"Jake","Rubley","Illinois State",2024,8.699,4,5,0,1,NA,NA,1
"890",4431565,"Walter","Simmons III","Bethune-Cookman",2024,-0.548,4,457,2,0.512,NA,NA,0
"891",4431580,"Miller","Moss","USC",2024,101.668,4,681,7,0.708,0.222413733643468,35.6,0
"892",4431633,"Goose","Crowder","Troy",2024,40.553,4,94,1,0.692,0.219738328123888,24.1,0
"893",4431948,"TJ","Finley","Western Kentucky",2024,7.93,4,3439,24,0.674,0.196569974614345,22.1,1
"894",4431976,"Dustin","Fletcher","The Citadel",2024,3.262,4,211,1,0.611,NA,NA,0
"895",4432138,"Mason","Garcia","Austin Peay",2024,-2.022,4,408,1,0.505,NA,NA,1
"896",4432368,"Luke","MacPhail","Utah Tech",2024,-0.245,4,0,0,0,NA,NA,1
"897",4432556,"Kody","Sparks","UT Martin",2024,-1.015,4,90,1,0.636,NA,NA,0
"898",4432612,"Christian","Veilleux","Georgia State",2024,70.047,4,1179,7,0.511,0.141297372768756,21,1
"899",4432690,"Dematrius","Davis Jr.","UTSA",2024,-0.252,4,262,2,0.737,0.168754232422818,32.3,1
"900",4432722,"Athan","Kaliakmanis","Rutgers",2024,115.359,4,1838,14,0.531,0.161997428933885,28.5,1
"901",4432734,"Jalen","Milroe","Alabama",2024,178.603,4,2834,23,0.658,0.244245006485298,37.9,0
"902",4432759,"Sawyer","Robertson","Baylor",2024,175.609,3,864,2,0.564,0.223795676116209,33.5,0
"903",4432762,"Shedeur","Sanders","Colorado",2024,196.966,4,3230,27,0.693,0.232372352316414,33.3,0
"904",4432767,"Preston","Stone","SMU",2024,23.548,4,3197,28,0.599,0.234663499569023,38.2,0
"905",4432782,"Brock","Vandagriff","Kentucky",2024,64.073,4,165,2,0.667,0.08664841837784,24.5,1
"906",4432803,"Kaidon","Salter","Liberty",2024,111.779,4,2876,32,0.61,0.225928966703691,28.2,0
"907",4433886,"Tate","Rodemaker","Southern Miss",2024,-4.415,4,510,5,0.571,-0.0179482244210045,14.4,1
"908",4433932,"Mike","Wright Jr.","Northwestern",2024,4.778,4,453,3,0.565,0.00731813214502136,17.5,1
"909",4433969,"Timmy","McClain","Arkansas State",2024,12.01,4,1065,9,0.627,0.163394199599781,24.6,1
