"","season","athlete_id","name","position","team","conference","avg_PPA_all","avg_PPA_pass","avg_PPA_rush","avg_PPA_first_down","avg_PPA_second_down","avg_PPA_third_down","avg_PPA_standard_downs","avg_PPA_passing_downs","total_PPA_all","total_PPA_pass","total_PPA_rush","total_PPA_first_down","total_PPA_second_down","total_PPA_third_down","total_PPA_standard_downs","total_PPA_passing_downs","countable_plays"
"82",2021,"4035711","Jared Sparks","WR","UL Monroe","SBC",0.364,0.364,NA,0.329,-0.062,1.082,0.393,0.332,14.557,14.557,0,3.287,-0.935,14.067,8.25,6.307,NA
"83",2021,"4035721","Jackson Anthrop","WR","Purdue","B1G",0.361,0.486,0.002,0.171,0.706,0.311,0.12,1.143,32.127,32.083,0.044,8.546,20.475,3.107,8.128,24,NA
"84",2021,"4035761","Jared Wyatt","WR","New Mexico State","Ind",0.572,0.572,NA,0.307,1.001,0.77,0.452,0.835,34.871,34.871,0,10.133,12.015,10.786,19,15.871,NA
"85",2021,"4035770","Jack Dunn","WR","Wisconsin","B1G",-0.371,-0.283,-0.604,-0.539,0.637,-0.371,-0.591,0.015,-4.08,-2.267,-1.813,-3.234,0.637,-1.483,-4.139,0.059,NA
"86",2021,"4035776","Kendric Pryor","WR","Wisconsin","B1G",0.455,0.494,0.219,0.386,0.37,0.8,0.465,0.434,22.765,21.229,1.536,9.265,6.296,7.204,15.82,6.945,NA
"87",2021,"4035818","Theo Howard","WR","Utah","PAC",1.033,1.033,NA,0.283,0.107,1.784,0.88,1.594,14.465,14.465,0,1.415,0.213,10.702,9.684,4.781,NA
"88",2021,"4035821","Matt Lynch","TE","Colorado","PAC",0.262,0.262,NA,-0.365,0.576,NA,-0.055,0.897,0.787,0.787,0,-0.365,1.152,0,-0.11,0.897,NA
"89",2021,"4035837","Audie Omotosho","WR","East Carolina","AAC",0.628,0.628,NA,0.481,0.665,0.76,0.451,0.862,36.425,36.425,0,11.536,9.981,11.397,14.88,21.545,NA
"90",2021,"4035838","Jordan Wilson","TE","Florida State","ACC",0.537,0.537,NA,1.267,-0.199,-0.171,0.724,0.099,5.367,5.367,0,6.336,-0.797,-0.171,5.071,0.296,NA
"91",2021,"4035847","Melquise Stovall","WR","Pittsburgh","ACC",0.766,0.77,0.711,0.666,0.562,1.273,0.494,1.107,13.794,13.083,0.711,5.331,3.373,5.09,4.936,8.858,NA
"92",2021,"4035851","Demetris Robertson","WR","Auburn","SEC",0.453,0.481,0.12,0.219,0.315,1.173,0.307,0.73,28.972,28.369,0.602,7.663,4.73,14.076,12.908,16.064,NA
"93",2021,"4035854","Collin Moore","TE","California","PAC",-0.06,-0.06,NA,-0.322,-0.092,0.297,-0.06,NA,-0.299,-0.299,0,-0.322,-0.275,0.297,-0.299,0,NA
"94",2021,"4035912","Kwamie Lassiter II","WR","Kansas","B12",0.522,0.485,2.038,0.354,0.064,1.385,0.364,0.749,43.329,39.252,4.077,11.343,1.86,27.693,17.852,25.476,NA
"95",2021,"4035995","Jawon Pass","QB","Prairie View A&M","",-0.601,-0.668,-0.199,-0.703,-0.949,-0.228,-0.412,-0.742,-4.204,-4.006,-0.199,-0.703,-2.847,-0.456,-1.236,-2.968,NA
